resultId,circuitID,Weather,raceId,driverId,constructorId,positionOrder,laps,pit_id,pit stops duration,# of pitstops,quali_ position
25334,18,0,1071,4,214,9,70,1071-4,17.751,5,10
25335,18,0,1071,846,1,10,70,1071-846,27.313,4,8
25336,18,0,1071,20,117,11,70,1071-20,18.107,4,12
25337,18,0,1071,8,51,12,70,1071-8,18.327,4,14
25338,18,0,1071,847,3,13,70,1071-847,22.978,4,18
25339,18,0,1071,841,51,14,70,1071-841,17.713,5,15
25340,18,0,1071,852,213,15,70,1071-852,31.939,4,13
25341,18,0,1071,849,3,16,70,1071-849,18.153,3,17
25342,18,0,1071,853,210,17,69,1071-853,17.995,5,20
25343,18,0,1071,854,210,18,69,1071-854,17.861,3,19
25344,18,0,1071,817,1,19,49,1071-817,19.732,3,9
25345,18,0,1071,840,117,20,47,1071-840,17.948,2,16
25346,78,0,1051,1,131,1,57,1051-1,25.235,3,1
25347,78,0,1051,830,9,2,57,1051-830,25.3,1,2
25348,78,0,1051,4,214,3,57,1051-4,25.991,2,5
25349,78,0,1051,815,9,4,57,1051-815,25.419,1,11
25350,78,0,1051,839,214,5,57,1051-839,25.517,1,9
25351,78,0,1051,840,117,6,57,1051-840,26.157,1,12
25352,78,0,1051,832,6,7,57,1051-832,25.639,1,7
25353,78,0,1051,844,6,8,57,1051-844,25.799,2,13
25354,78,0,1051,846,1,9,56,1051-846,25.319,1,6
25355,78,0,1051,20,117,10,56,1051-20,25.726,2,10
25356,78,0,1051,842,213,11,56,1051-842,25.63,1,4
25357,78,0,1051,817,1,12,56,1051-817,25.562,2,14
25358,78,0,1051,852,213,13,56,1051-852,25.659,2,8
25359,78,0,1051,8,51,14,56,1051-8,26.174,2,16
25360,78,0,1051,841,51,15,56,1051-841,25.987,1,18
25361,78,0,1051,854,210,16,56,1051-854,25.881,2,19
25362,78,0,1051,847,3,17,55,1051-847,26.121,1,15
25363,78,0,1051,853,210,18,55,1051-853,26.515,1,20
25364,78,0,1051,849,3,19,50,1051-849,25.811,1,17
25365,78,0,1051,822,131,20,48,1051-822,36.341,3,3
25366,77,0,1072,1,131,1,50,1072-1,20.58,2,1
25367,77,0,1072,830,9,2,50,1072-830,36.375,3,3
25368,77,0,1072,822,131,3,50,1072-822,21.668,2,2
25369,77,0,1072,839,214,4,50,1072-839,37.126,2,9
25370,77,0,1072,817,1,5,50,1072-817,37.029,2,11
25371,77,0,1072,842,213,6,50,1072-842,41.775,3,6
25372,77,0,1072,844,6,7,50,1072-844,20.531,2,4
25373,77,0,1072,832,6,8,50,1072-832,44.618,2,15
25374,77,0,1072,841,51,9,50,1072-841,44.917,3,10
25375,77,0,1072,846,1,10,50,1072-846,20.973,3,7
25376,77,0,1072,840,117,11,50,1072-840,27.165,3,18
25377,77,0,1072,849,3,12,50,1072-849,24.22,4,16
25378,77,0,1072,4,214,13,49,1072-4,20.405,3,13
25379,77,0,1072,852,213,14,49,1072-852,46.407,3,8
25380,77,0,1072,8,51,15,49,1072-8,48.569,2,12
25381,77,0,1072,20,117,16,44,1072-20,42.304,2,17
25382,77,0,1072,815,9,17,14,1072-815,20.71,1,5
